"","CA_MPA_Name_Short","year","PurpDiff","lnPurpDiff","MacroDiff","lnMacroDiff","MesDiff","lnMesDiff","UrchDiff","lnUrchDiff","LobDiff","lnLobDiff","time","HW","BA_HW","type","Location","Hectares","H_cat","SheepDiff","lnSheepDiff","SheepTLDiff","lnSheepTLDiff","classcode","site_designation","SheepDiffden","lnSheepDiffden"
"1","Abalone Cove SMCA",2011,5.40397350993377,1.68713451814918,1.0542830302432,0.0528609437140425,4.93122886133033,1.59558821892713,5.28672897196262,1.66519971283408,1.15384615384615,0.143100843640673,0,"N","B","SMCA","ML",1241.700755,"S",0.702634005051073,-0.352919141444466,1.01010101010101,0.0100503358535015,"SPUL","SMCA",0.775862068965517,-0.2537805207761
"2","Abalone Cove SMCA",2012,3.92090667952737,1.36632292285542,0.847732982766001,-0.165189571588655,6.59248956884562,1.88593105696808,4.34869240348692,1.46987520301273,0.695652173913044,-0.362905493689368,0,"N","B","SMCA","ML",1241.700755,"S",0.308627770617958,-1.17561935406115,0.732203389830508,-0.311696948655655,"SPUL","SMCA",0.652173913043478,-0.42744401482694
"3","Abalone Cove SMCA",2013,5.94230769230769,1.78209755831632,0.587420886075949,-0.532013704029948,5.37890625,1.68248505424909,5.83115183246073,1.76321455073839,0.857142857142857,-0.154150679827258,1,"N","B","SMCA","ML",1241.700755,"S",0.149203199226922,-1.90244614890267,0.674184357317709,-0.394251678293958,"SPUL","SMCA",0.221311475409836,-1.50818417872893
"4","Abalone Cove SMCA",2014,492,6.19847871649231,0.414814814814815,-0.87992308770328,9.375,2.23804657185647,132.125,4.8837484441904,1,0,2,"Y","D","SMCA","ML",1241.700755,"S",0.419192971933006,-0.869423911542834,0.6,-0.510825623765991,"SPUL","SMCA",0.666666666666667,-0.405465108108164
"5","Abalone Cove SMCA",2015,0.430622009569378,-0.842524581634546,0.905012401193393,-0.0998066323999705,6.1304347826087,1.81326567444902,1.9251968503937,0.655028222456336,1.08196721311475,0.0787808778531144,3,"Y","D","SMCA","ML",1241.700755,"S",0.515447733804417,-0.662719369987546,0.670939956933246,-0.399075628975179,"SPUL","SMCA",0.769230769230769,-0.262364264467491
"6","Abalone Cove SMCA",2016,5.57142857142857,1.71765149707433,2.82598943275845,1.03885854496251,3.625,1.28785428830664,6.88888888888889,1.92990980770887,0.466666666666667,-0.762140052046897,4,"Y","D","SMCA","ML",1241.700755,"S",0.694462147265027,-0.364617621851188,0.366052376333657,-1.00497885108251,"SPUL","SMCA",1.40540540540541,0.340325805937203
"7","Abalone Cove SMCA",2017,2.83333333333333,1.04145387482816,1.19685975609756,0.179701256885972,2.07407407407407,0.72951482473082,3.7037037037037,1.30933331998376,0.933333333333333,-0.0689928714869514,5,"N","A","SMCA","ML",1241.700755,"S",0.648828399295175,-0.432587005105648,0.789718755820451,-0.236078402196566,"SPUL","SMCA",0.868217054263566,-0.141313533066578
"8","Abalone Cove SMCA",2018,13.4444444444444,2.59856596826052,1.01740911418331,0.0172593116751379,8.375,2.12525107771113,20,2.99573227355399,2,0.693147180559945,6,"N","A","SMCA","ML",1241.700755,"S",0.790073057988153,-0.235629859330923,0.957238851557727,-0.0437023350151142,"SPUL","SMCA",0.853658536585366,-0.158224005214894
"9","Abalone Cove SMCA",2019,1.18918918918919,0.173271721274037,2.19838523644752,0.787723107433606,2.36842105263158,0.862223510603879,1.6875,0.523248143764548,0.588235294117647,-0.53062825106217,7,"N","A","SMCA","ML",1241.700755,"S",0.601103291247616,-0.508988493577504,1.08537652353652,0.0819269530936598,"SPUL","SMCA",0.538461538461538,-0.619039208406224
"10","Abalone Cove SMCA",2020,0.848484848484848,-0.164303051291276,1.64986176429964,0.500691505190476,1.33333333333333,0.287682072451781,1.2,0.182321556793955,0.579710144927536,-0.545227050483323,8,"N","A","SMCA","ML",1241.700755,"S",2.83513391281423,1.04208917162473,1.17184720041863,0.158581307585823,"SPUL","SMCA",2.5,0.916290731874155
"11","Anacapa Island SMR",2007,0.413239550380292,-0.883727829036785,0.867131354477674,-0.142564809089397,0.511961015948021,-0.669506797568002,0.43118863474302,-0.841209617009708,2.53571428571429,0.930475366866112,2,"N","B","SMR","C",2990.307056,"M",2.69183234054569,0.990222129213574,1.50653430841936,0.409811852922902,"SPUL","SMR",1.50840336134454,0.411051714816804
"12","Anacapa Island SMR",2008,0.62868300982136,-0.464128108260242,1.00986215179363,0.00981383816581986,0.437227949599084,-0.827300596088418,0.580074056931266,-0.544599499228375,3,1.09861228866811,3,"N","B","SMR","C",2990.307056,"M",1.21211820112048,0.192369408568771,1.55918534319025,0.444163468955547,"SPUL","SMR",0.89010989010989,-0.116410351844411
"13","Anacapa Island SMR",2009,0.428482113732739,-0.847506283396046,0.921996106810144,-0.0812142779831089,0.735247461928934,-0.307548153537759,0.473065849354509,-0.748520683785596,2.38235294117647,0.868088630056277,4,"N","B","SMR","C",2990.307056,"M",1.68620676934375,0.52248149105404,1.17116597070152,0.15799980873238,"SPUL","SMR",1.3054587688734,0.266554526025906
"14","Anacapa Island SMR",2010,0.269753210947482,-1.31024777149497,1.71768623548563,0.540978173288588,0.395977808599168,-0.926397108188884,0.293923310225303,-1.22443639524442,1.53806706114398,0.430526472957314,5,"N","B","SMR","C",2990.307056,"M",1.75268362512901,0.561148113398594,1.17791928801596,0.163749566766573,"SPUL","SMR",1.18045112781955,0.165896677126554
"15","Anacapa Island SMR",2011,0.265962757725525,-1.32439898855321,1.43759555389822,0.362971963757208,0.260720756996175,-1.34430534097371,0.264568158168574,-1.32965637404162,1.44166666666667,0.365799851715733,6,"N","B","SMR","C",2990.307056,"M",1.95905830201625,0.672463899630448,1.00630175248908,0.00628197947314886,"SPUL","SMR",1.57983193277311,0.45731846971842
"16","Anacapa Island SMR",2012,0.462379357888517,-0.771369603864976,1.51457605659491,0.415135569171014,0.459278831209201,-0.778097777958773,0.461149786660678,-0.774032371925089,1.71111111111111,0.537142932083364,7,"N","B","SMR","C",2990.307056,"M",1.88380716797491,0.63329481846087,1.03371557360808,0.0331596643664821,"SPUL","SMR",1.39732142857143,0.334557138685114
"17","Anacapa Island SMR",2014,0.0465279401449614,-3.06770228350242,9.50686971142821,2.25201466479453,0.344804010938924,-1.06477910760677,0.106417660208644,-2.2403837364431,1.19548611111111,0.178552890208532,9,"Y","D","SMR","C",2990.307056,"M",1.86614233816141,0.623873379345259,0.749113994383625,-0.288864111606716,"SPUL","SMR",1.609375,0.475845904869964
"18","Anacapa Island SMR",2015,0.0355098855359001,-3.33794415546517,18.3774885403806,2.911126466698,0.127288732394366,-2.06129728955643,0.0497897331786543,-2.99994647727684,1.72196333078686,0.543465111229945,10,"Y","D","SMR","C",2990.307056,"M",1.82304166920512,0.600506352925764,1.50523066369405,0.408946151369962,"SPUL","SMR",0.956140350877193,-0.0448505661653518
"19","Anacapa Island SMR",2016,0.0443552241659497,-3.11552478311751,10.1736361977741,2.31979968772842,0.21290751829674,-1.5468973939592,0.062709590878605,-2.7692408784701,1.76848072562358,0.570120830889607,11,"Y","D","SMR","C",2990.307056,"M",1.74684542964558,0.557811549644863,1.13734516120012,0.128696740555655,"SPUL","SMR",1.08762886597938,0.0839999744127385
"20","Anacapa Island SMR",2017,0.0185341196293176,-3.98814194125135,3.68206747832958,1.30347440918548,0.102115244347192,-2.28165325695301,0.028269240142321,-3.56598098622574,1.67230141325536,0.514200769501372,12,"N","A","SMR","C",2990.307056,"M",1.08830885909641,0.0846249859940265,1.17137795723298,0.158180797041297,"SPUL","SMR",0.611111111111111,-0.492476485097794
"21","Anacapa Island SMR",2018,0.0209680316091954,-3.86475630546525,1.57203381041796,0.452370201675187,0.0934256055363322,-2.3705898221081,0.0283634338451746,-3.56265450407049,1.57622739018088,0.455034264137575,13,"N","A","SMR","C",2990.307056,"M",1.32668854282418,0.282686020058253,1.18922067556441,0.173298198102684,"SPUL","SMR",0.747993579454254,-0.290360884661807
"22","Anacapa Island SMR",2019,0.023543990086741,-3.74888468910351,1.84587507011493,0.612953457796455,0.0843471208434712,-2.47281460402297,0.031783248664843,-3.4488158995347,1.32242063492063,0.279463871547395,14,"N","A","SMR","C",2990.307056,"M",1.24429741794201,0.218571047688408,1.08444595235589,0.0810692135799242,"SPUL","SMR",0.83743842364532,-0.177407541991525
"23","Anacapa Island SMR",2020,0.0397840939115993,-3.2242880970356,1.59135963947726,0.464588769994127,0.134308760082536,-2.00761394986212,0.0541918429003021,-2.91522488185722,1.73695333233541,0.552132620079056,15,"N","A","SMR","C",2990.307056,"M",1.12715158049809,0.119693725124442,0.933007177226419,-0.0693423855315638,"SPUL","SMR",0.971698113207547,-0.0287101058824313
"24","Blue Cavern Onshore SMCA",2011,0.272727272727273,-1.29928298413026,0.978273099745895,-0.0219664048344535,0.333333333333333,-1.09861228866811,0.189189189189189,-1.66500776358891,0.269230769230769,-1.31218638896617,6,"N","B","SMCA","C",677.0633697,"S",3.39644984318884,1.22273072233537,1.48986838077747,0.398687781006921,"SPUL","SMCA",2.75555555555556,1.01361907583472
"25","Blue Cavern Onshore SMCA",2012,1.16666666666667,0.154150679827258,1.15778155293991,0.146505719680343,1.61111111111111,0.476924072090309,1.58888888888889,0.463034959929642,0.708333333333333,-0.344840486291729,7,"N","B","SMCA","C",677.0633697,"S",2.75067569553939,1.01184658896621,NA,NA,"SPUL","SMCA",3.08333333333333,1.12601126285622
"26","Blue Cavern Onshore SMCA",2019,1.0625,0.0606246218164348,15.8286967418546,2.76182454213071,1.58333333333333,0.45953232937844,1.64583333333333,0.498246841559131,0.797619047619048,-0.226124179452348,14,"N","A","SMCA","C",677.0633697,"S",1.10886828946866,0.103339936183141,0.755164835164835,-0.28081922884085,"SPUL","SMCA",1.2280701754386,0.205443974214809
"27","Blue Cavern Onshore SMCA",2020,1,0,10.653162055336,2.36585675469171,0.85,-0.162518929497775,0.85,-0.162518929497775,1.71666666666667,0.540384426007535,15,"N","A","SMCA","C",677.0633697,"S",1.69065309385538,0.525114900352205,1.31928480204342,0.277089773128835,"SPUL","SMCA",2,0.693147180559946
"28","Campus Point SMCA",2010,1.37245160185027,0.316598631011326,0.874240064311913,-0.1344002679166,0.650709219858156,-0.429692403443489,1.25600460232993,0.227935732314715,1,0,0,"N","B","SMCA","ML",2734.933446,"M",0.515618573678526,-0.662387985139777,1.21485595279417,0.194625512392977,"SPUL","SMCA",0.641025641025641,-0.444685821261446
"29","Campus Point SMCA",2011,1.50306988896146,0.407509609331454,11.5779220779221,2.44910001544951,0.777589134125637,-0.251556999537402,1.40686996939123,0.341367356939886,1,0,0,"N","B","SMCA","ML",2734.933446,"M",0.689667298092957,-0.371545974352261,1.22093023255814,0.199613053904016,"SPUL","SMCA",0.794117647058823,-0.230523658611832
"30","Campus Point SMCA",2012,0.804884253370644,-0.217056796534316,13.0256164520315,2.56691791489042,1.65154639175258,0.501712056130876,0.972386991204745,-0.0280014146585063,0.875,-0.133531392624522,0,"N","B","SMCA","ML",2734.933446,"M",0.807504844542197,-0.213806224470261,0.985970996216898,-0.0141283404136723,"SPUL","SMCA",0.794871794871795,-0.2295744416445
"31","Campus Point SMCA",2013,3.17947826086957,1.15671711442237,2.77095238095238,1.01919108094516,4.69184890656064,1.54582672791992,3.57947790126648,1.2752169521422,0.96579476861167,-0.0348039221946921,1,"N","B","SMCA","ML",2734.933446,"M",0.628134800329527,-0.465000485341745,1.10958904109589,0.103989713524048,"SPUL","SMCA",0.742857142857143,-0.297251523467932
"32","Campus Point SMCA",2014,2.16125517541948,0.770689152654246,0.838656212150188,-0.175954415547293,0.578706353749285,-0.546960091113585,1.47930905927675,0.39157512692674,1,0,2,"Y","D","SMCA","ML",2734.933446,"M",0.429664131196623,-0.844751465744863,0.732050680431722,-0.311905531855034,"SPUL","SMCA",0.666666666666667,-0.405465108108164
"33","Campus Point SMCA",2015,0.479113384484228,-0.735817998759784,1.04239938861802,0.0415251603145324,0.748224151539069,-0.290052678066117,0.572063315745626,-0.558505601865249,1.1,0.0953101798043249,3,"Y","D","SMCA","ML",2734.933446,"M",0.570955066533495,-0.560444765008374,0.767213715962226,-0.264989877624039,"SPUL","SMCA",0.676923076923077,-0.390197635977376
"34","Campus Point SMCA",2016,0.418945963975984,-0.870013331634399,1.030357541903,0.0299058700677064,0.267326732673267,-1.31928365083693,0.384818133895625,-0.954984435792578,1.61069651741294,0.476666704954672,4,"Y","D","SMCA","ML",2734.933446,"M",0.575382935915357,-0.552719484343095,0.905400039706174,-0.0993784001254376,"SPUL","SMCA",0.559523809523809,-0.580669197133255
"35","Campus Point SMCA",2017,0.21930567315834,-1.51728875449782,1.30607421600006,0.267025856192222,0.245738636363636,-1.40348676166026,0.222331368696791,-1.50358635821988,1.83443223443223,0.606735024600929,5,"N","A","SMCA","ML",2734.933446,"M",0.678673581709919,-0.387615000871744,0.924163901649197,-0.0788658403336837,"SPUL","SMCA",0.68,-0.385662480811985
"36","Campus Point SMCA",2018,0.182377049180328,-1.70167903612101,3.17573040692023,1.15553765531104,0.143884892086331,-1.9387416595767,0.1712,-1.7649228152745,2.215,0.795252403497099,6,"N","A","SMCA","ML",2734.933446,"M",0.630434129618567,-0.461346602280603,1.0215515758406,0.021322624300116,"SPUL","SMCA",0.654320987654321,-0.424157241120317
"37","Campus Point SMCA",2019,0.168160377358491,-1.78283712781171,6.3199604743083,1.84371295407407,0.128205128205128,-2.05412373369555,0.158985282726569,-1.8389436425141,1.01470588235294,0.0145987994211526,7,"N","A","SMCA","ML",2734.933446,"M",0.517396037768624,-0.658946667225082,0.884184939484479,-0.123089030663716,"SPUL","SMCA",0.56140350877193,-0.577315365034824
"38","Campus Point SMCA",2020,0.926544240400668,-0.0762934843690149,7.77499272938782,2.05091252293789,0.430313588850174,-0.843241059691589,0.764204545454545,-0.268919795996258,1.9,0.641853886172395,8,"N","A","SMCA","ML",2734.933446,"M",0.852886851124766,-0.159128388442853,0.837811460084898,-0.176962191779158,"SPUL","SMCA",0.934782608695652,-0.0674412807955325
"39","Cat Harbor SMCA",2011,0.146341463414634,-1.92181259747625,1.04933401932201,0.0481556956244586,0.5,-0.693147180559945,0.278481012658228,-1.27840539910871,1.11111111111111,0.105360515657826,6,"N","B","SMCA","C",66.79821831,"S",1.31801382225292,0.276125923318891,0.960846785613141,-0.0399403149669063,"SPUL","SMCA",1,0
"40","Cat Harbor SMCA",2012,0.136986301369863,-1.98787434815435,1.42534324942792,0.354412661505979,0.945454545454546,-0.0560894666510433,0.459016393442623,-0.778669353998107,1.2,0.182321556793955,7,"N","B","SMCA","C",66.79821831,"S",1.47008398543338,0.385319532106495,1.08791208791209,0.0842603436177398,"SPUL","SMCA",1.13636363636364,0.127833371509885
"41","Cat Harbor SMCA",2019,0.304347826086956,-1.18958406687384,0.0757575757575758,-2.58021682959233,0.0740740740740741,-2.60268968544438,0.072,-2.63108915996608,1.66666666666667,0.510825623765991,14,"N","A","SMCA","C",66.79821831,"S",0.957048320103957,-0.0439013975771169,0.860798564378645,-0.149894757351745,"SPUL","SMCA",0.974358974358974,-0.0259754864032608
"42","Cat Harbor SMCA",2020,0.214285714285714,-1.54044504094715,0.0775,-2.55747734262284,0.153846153846154,-1.87180217690159,0.0983606557377049,-2.31911439494526,0.545454545454545,-0.606135803570316,15,"N","A","SMCA","C",66.79821831,"S",1.31324114734783,0.272498239803383,0.8784516765286,-0.129594379665183,"SPUL","SMCA",1.88,0.631271776841858
"43","Crystal Cove SMCA",2011,4.5,1.50407739677627,0.945309910507126,-0.0562424576248745,16.1666666666667,2.78295150927533,19.6666666666667,2.97892515523761,2.33333333333333,0.847297860387204,0,"N","B","SMCA","ML",913.7427716,"S",1.9949400927609,0.690614021199681,NA,NA,"SPUL","SMCA",4.55555555555556,1.51634748936809
"44","Crystal Cove SMCA",2012,4.58333333333333,1.52242653544447,0.558675078864353,-0.582187229088493,8.25,2.11021320034659,8.22222222222222,2.10684051586795,1,0,0,"N","B","SMCA","ML",913.7427716,"S",1.14154981637702,0.132386827189232,NA,NA,"SPUL","SMCA",1.47619047619048,0.389464766761723
"45","Crystal Cove SMCA",2019,0.0348258706467662,-3.35739475900376,2.6,0.955511445027436,0.748299319727891,-0.28995222098632,0.104399701715138,-2.25952846067237,1.52380952380952,0.421213465076304,7,"N","A","SMCA","ML",913.7427716,"S",2.0649836390499,0.725122303403353,NA,NA,"SPUL","SMCA",3,1.09861228866811
"46","Crystal Cove SMCA",2020,1,0,2,0.693147180559945,1.86666666666667,0.624154309072994,1.86666666666667,0.624154309072994,0.75,-0.287682072451781,8,"N","A","SMCA","ML",913.7427716,"S",0.746341612427924,-0.292571858087664,NA,NA,"SPUL","SMCA",1.26666666666667,0.23638877806423
"47","Gull Island SMR",2004,0.410832907511497,-0.88956869821711,1.29409294913724,0.257810024362399,0.3467525496511,-1.05914386681899,0.37860513896172,-0.971261466707593,1.08333333333333,0.0800427076735364,0,"N","B","SMR","C",5162.300775,"L",1.19614804826887,0.179106434045547,0.771787484680532,-0.259046045764783,"SPUL","SMR",1.67924528301887,0.518344456180018
"48","Gull Island SMR",2005,1.00084245998315,0.000842105312922089,0.972312479584644,-0.028078045131499,0.667450611476952,-0.404289881741851,0.842914438502674,-0.170889822569503,1,0,0,"N","B","SMR","C",5162.300775,"L",1.5153383269191,0.415638732127973,0.737240820327226,-0.304840682598957,"SPUL","SMR",2.225,0.799756915618204
"49","Gull Island SMR",2006,0.481719935617383,-0.7303923802414,0.920676703267737,-0.0826463322910411,0.622154264356099,-0.474567203558962,0.537637362637363,-0.62057099323471,1.23076923076923,0.207639364778245,1,"N","B","SMR","C",5162.300775,"L",3.73327418770303,1.3172856469279,1.05558762225429,0.0540975997865913,"SPUL","SMR",2.35,0.854415328156068
"50","Gull Island SMR",2007,0.656324461343473,-0.421100006608619,0.844136975996718,-0.169440503719426,1.02707702657249,0.0267169296650916,0.741837331772967,-0.298625289265525,1.13888888888889,0.130053128248198,2,"N","B","SMR","C",5162.300775,"L",1.58849345929856,0.46278605718579,0.70311884469697,-0.352229347836425,"SPUL","SMR",2.27272727272727,0.82098055206983
"51","Gull Island SMR",2008,6.06380857427717,1.80233808027537,0.887429353187703,-0.119426362843002,1.8228636106395,0.600408677011503,3.36874546773024,1.21454041028807,1.83333333333333,0.606135803570316,3,"N","B","SMR","C",5162.300775,"L",1.94804504781644,0.666826330115405,0.920747865841324,-0.0825690415077901,"SPUL","SMR",2.08108108108108,0.732887509209459
"52","Gull Island SMR",2009,6,1.79175946922806,0.875672246967099,-0.132763405354142,0.868219633943427,-0.14131056183258,2.62692138779095,0.965812585547219,2.91666666666667,1.07044141170141,4,"N","B","SMR","C",5162.300775,"L",3.25561653886458,1.1803816705858,0.866101901511458,-0.143752708160355,"SPUL","SMR",2.9,1.06471073699243
"53","Gull Island SMR",2010,0.85716696669667,-0.154122552410056,0.86425200742504,-0.145890877446577,0.628810135879545,-0.463925918595745,0.770020964360587,-0.26133753806272,1.0625,0.0606246218164348,5,"N","B","SMR","C",5162.300775,"L",2.66120210882646,0.978777941319694,0.938281530162983,-0.0637052362420356,"SPUL","SMR",2.7,0.993251773010283
